ID	LANGUAGE	GLOTTOCODE	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	COGID	TOKENS	ALIGNMENT
por-473_december-1	Portuguese	port1283	2855	DECEMBER	Dezembro	dəˈzẽbru	5	d ə z ẽ b r u	d ə z - ẽ - b - r - u
ron-473_december-1	Romanian	roma1327	2855	DECEMBER	decembrie	det͡ʃembrje	5	d e tʃ e m b r j e	d e tʃ - e m b - r j e
spa-473_december-1	Spanish	stan1288	2855	DECEMBER	diciembre	diθjembɾe	5	d i θ j e m b ɾ e	d i θ j e m b - ɾ - e
cat-463_february-1	Catalan	stan1289	2037	FEBRUARY	febrer	fəβɾɛ	6	f ə β ɾ ɛ	f ə β - ɾ - - - - - ɛ -
fra-463_february-1	French	stan1290	2037	FEBRUARY	février	fevʁiˈe	6	f e v ʁ i e	f e v - ʁ - - - - i e -
ita-463_february-1	Italian	ital1282	2037	FEBRUARY	febbraio	febːraio	6	f e bː r a i o	f e bː - r - a - - i o -
lat-463_february-1	Latin	lati1261	2037	FEBRUARY	Februarius	fɛbrʊaːrɪʊs	6	f ɛ b r ʊ aː r ɪ ʊ s	f ɛ b - r ʊ aː - r ɪ ʊ s
por-463_february-1	Portuguese	port1283	2037	FEBRUARY	Fevereiro	fəvəˈrejru	6	f ə v ə r e j r u	f ə v ə r - e j r - u -
ron-463_february-1	Romanian	roma1327	2037	FEBRUARY	februarie	febrwarje	7	f e b r w a r j e	f e b r w a r j e
spa-463_february-1	Spanish	stan1288	2037	FEBRUARY	febrero	feβɾeɾo	6	f e β ɾ e ɾ o	f e β - ɾ - e - ɾ - o -
cat-478_friday-1	Catalan	stan1289	1692	FRIDAY	divendres	d̪iβɛnðɾəs	12	d̪ i β ɛ n ð ɾ ə s	d̪ i β ɛ n ð ɾ ə s
fra-478_friday-1	French	stan1290	1692	FRIDAY	vendredi	vɑ̃dʁəˈdi	13	v ɑ̃ d ʁ ə d i	v ɑ̃ d ʁ ə d i
ita-478_friday-1	Italian	ital1282	1692	FRIDAY	venerdì	venerdi	8	v e n e r d i	v e n e r d i
lat-478_friday-1	Latin	lati1261	1692	FRIDAY	dies Veneris	dɪeːs wɛnɛrɪs	11	d ɪ eː s + w ɛ n ɛ r ɪ s	d ɪ eː s + w ɛ n ɛ r ɪ s
por-478_friday-1	Portuguese	port1283	1692	FRIDAY	sexta-feira	ˈsejʃtɐˈfejrɐ	10	s e j ʃ t ɐ f e j r ɐ	s e j ʃ t ɐ f e j r ɐ
ron-478_friday-1	Romanian	roma1327	1692	FRIDAY	vineri	vinerʲ	8	v i n e rʲ	v i n e rʲ - -
spa-478_friday-1	Spanish	stan1288	1692	FRIDAY	viernes	bjeɾnes	9	b j e ɾ n e s	b j e ɾ n e s
cat-640_i-1	Catalan	stan1289	1209	I	jo	ʒɔ	14	ʒ ɔ	ʒ ɔ
fra-640_i-1	French	stan1290	1209	I	je	ʒə	18	ʒ ə	ʒ ə
fra-640_i-2	French	stan1290	1209	I	moi	mwa	16	m w a	m w a
ita-640_i-1	Italian	ital1282	1209	I	ìo	io	17	i o	i o
lat-640_i-1	Latin	lati1261	1209	I	ego	ɛɡoː	19	ɛ g oː	ɛ g oː
por-640_i-1	Portuguese	port1283	1209	I	eu	ew	15	e w	- e w
ron-640_i-1	Romanian	roma1327	1209	I	eu	jew	15	j e w	j e w
spa-640_i-1	Spanish	stan1288	1209	I	yo	ʝo	14	ʝ o	ʝ o
cat-462_january-1	Catalan	stan1289	2036	JANUARY	gener	ʒənɛ	20	ʒ ə n ɛ	ʒ ə n ɛ - - -
fra-462_january-1	French	stan1290	2036	JANUARY	janvier	ʒɑ̃ˈvje	24	ʒ ɑ̃ v j e	ʒ ɑ̃ v j e
ita-462_january-1	Italian	ital1282	2036	JANUARY	gennaio	d͡ʒenːaio	23	dʒ e nː a i o	dʒ e nː a i o
lat-462_january-1	Latin	lati1261	2036	JANUARY	Ianuarius	ɪaːnʊaːrɪʊs	22	ɪ aː n ʊ aː r ɪ ʊ s	ɪ aː n ʊ aː r ɪ ʊ s
por-462_january-1	Portuguese	port1283	2036	JANUARY	Janeiro	ʒɐˈnejru	20	ʒ ɐ n e j r u	ʒ ɐ n e j r u
ron-462_january-1	Romanian	roma1327	2036	JANUARY	ianuarie	janwarje	21	j a n w a r j e	j a n w a r j e
spa-462_january-1	Spanish	stan1288	2036	JANUARY	enero	eneɾo	20	e n e ɾ o	- e n e - ɾ o
cat-468_july-1	Catalan	stan1289	2850	JULY	juliol	ʒuɫiɔɫ	25	ʒ u lˠ i ɔ lˠ	ʒ u lˠ i ɔ lˠ
fra-468_july-1	French	stan1290	2850	JULY	juillet	ʒɥiˈjɛ	28	ʒ ɥ i j ɛ	ʒ ɥ i j ɛ
ita-468_july-1	Italian	ital1282	2850	JULY	luglio	luʎːo	25	l u ʎː o	l u ʎː - o -
lat-468_july-1	Latin	lati1261	2850	JULY	Iulius	ɪuːɫɪʊs	27	ɪ uː lˠ ɪ ʊ s	ɪ uː lˠ ɪ ʊ s
por-468_july-1	Portuguese	port1283	2850	JULY	Julho	ˈʒuʎu	25	ʒ u ʎ u	ʒ u ʎ - u -
ron-468_july-1	Romanian	roma1327	2850	JULY	iulie	iwlje	26	i w l j e	i w l j e
spa-468_july-1	Spanish	stan1288	2850	JULY	julio	xuljo	25	x u l j o	x u l j o -
cat-467_june-1	Catalan	stan1289	2849	JUNE	juny	ʒuɲ	29	ʒ u ɲ	ʒ u ɲ - -
fra-467_june-1	French	stan1290	2849	JUNE	juin	ʒɥɛ̃	32	ʒ ɥ ɛ̃	ʒ ɥ ɛ̃
ita-467_june-1	Italian	ital1282	2849	JUNE	giugno	d͡ʒuɲːo	29	dʒ u ɲː o	dʒ u ɲː - o
lat-467_june-1	Latin	lati1261	2849	JUNE	Iunius	ɪuːnɪʊs	31	ɪ uː n ɪ ʊ s	ɪ uː n ɪ ʊ s
por-467_june-1	Portuguese	port1283	2849	JUNE	Junho	ˈʒuɲu	29	ʒ u ɲ u	ʒ u ɲ - u
ron-467_june-1	Romanian	roma1327	2849	JUNE	iunie	iwnje	30	i w n j e	i w n j e
spa-467_june-1	Spanish	stan1288	2849	JUNE	junio	xunjo	29	x u n j o	x u n j o
cat-464_march-1	Catalan	stan1289	2846	MARCH	març	maɾs	33	m a ɾ s	m a ɾ s - - - -
fra-464_march-1	French	stan1290	2846	MARCH	mars	maʁs	33	m a ʁ s	m a ʁ s - - - -
ita-464_march-1	Italian	ital1282	2846	MARCH	marzo	mart͡so	33	m a r ts o	m a r ts - - o -
lat-464_march-1	Latin	lati1261	2846	MARCH	Martius	maːrtɪʊs	33	m aː r t ɪ ʊ s	m aː r t - ɪ ʊ s
por-464_march-1	Portuguese	port1283	2846	MARCH	Março	ˈmarsu	33	m a r s u	m a r s - - u -
ron-464_march-1	Romanian	roma1327	2846	MARCH	martie	martje	33	m a r t j e	m a r t j - e -
spa-464_march-1	Spanish	stan1288	2846	MARCH	marzo	maɾθo	33	m a ɾ θ o	m a ɾ θ - - o -
cat-466_may-1	Catalan	stan1289	2848	MAY (MONTH)	maig	mat͡ʃ	34	m a tʃ	m a tʃ - -
fra-466_may-1	French	stan1290	2848	MAY (MONTH)	mai	mɛ	34	m ɛ	m ɛ - - -
ita-466_may-1	Italian	ital1282	2848	MAY (MONTH)	maggio	madd͡ʒo	34	m a d dʒ o	m a d dʒ o
lat-466_may-1	Latin	lati1261	2848	MAY (MONTH)	Maius	maːɪʊs	35	m aː ɪ ʊ s	m aː ɪ ʊ s
por-466_may-1	Portuguese	port1283	2848	MAY (MONTH)	Maio	ˈmaju	34	m a j u	m a - j u
ron-466_may-1	Romanian	roma1327	2848	MAY (MONTH)	mai	maj	34	m a j	m a - j -
spa-466_may-1	Spanish	stan1288	2848	MAY (MONTH)	mayo	maʝo	34	m a ʝ o	m a - ʝ o
cat-474_monday-1	Catalan	stan1289	1697	MONDAY	dilluns	d̪iʎuns	40	d̪ i ʎ u n s	d̪ i ʎ u n s
fra-474_monday-1	French	stan1290	1697	MONDAY	lundi	lœ̃ˈdi	41	l œ̃ d i	l œ̃ d i
ita-474_monday-1	Italian	ital1282	1697	MONDAY	lunedì	lunedi	36	l u n e d i	l u n e d i
lat-474_monday-1	Latin	lati1261	1697	MONDAY	dies lunae	dɪeːs ɫuːnaɛ̯	39	d ɪ eː s + lˠ uː n a ɛ	d ɪ eː s + lˠ uː n a ɛ
por-474_monday-1	Portuguese	port1283	1697	MONDAY	segunda-feira	səˈɣũdɐˈfejrɐ	38	s ə ɣ ũ d ɐ f e j r ɐ	s ə ɣ ũ d ɐ f e j r ɐ
ron-474_monday-1	Romanian	roma1327	1697	MONDAY	luni	lunʲ	37	l u nʲ	l u nʲ
spa-474_monday-1	Spanish	stan1288	1697	MONDAY	lunes	lunes	36	l u n e s	l u n e s -
cat-472_november-1	Catalan	stan1289	2854	NOVEMBER	novembre	nuβɛmβɾə	42	n u β ɛ m β ɾ ə	n u β - ɛ m β ɾ - ə -
fra-472_november-1	French	stan1290	2854	NOVEMBER	novembre	nɔˈvɑ̃ːbʁə	42	n ɔ v ɑ̃ː b ʁ ə	n ɔ v - ɑ̃ː - b ʁ - ə -
ita-472_november-1	Italian	ital1282	2854	NOVEMBER	novembre	novembre	42	n o v e m b r e	n o v - e m b r - e -
lat-472_november-1	Latin	lati1261	2854	NOVEMBER	Novembris	nɔwɛmbrɪs	42	n ɔ w ɛ m b r ɪ s	n ɔ w - ɛ m b r - ɪ s
por-472_november-1	Portuguese	port1283	2854	NOVEMBER	Novembro	nuˈvẽbru	42	n u v ẽ b r u	n u v - ẽ - b r - u -
ron-472_november-1	Romanian	roma1327	2854	NOVEMBER	noiembrie	nojembrje	42	n o j e m b r j e	n o - j e m b r j e -
spa-472_november-1	Spanish	stan1288	2854	NOVEMBER	noviembre	noβjembɾe	42	n o β j e m b ɾ e	n o β j e m b ɾ - e -
cat-471_october-1	Catalan	stan1289	2853	OCTOBER	octubre	ukt̪uβɾə	43	u k t̪ u β ɾ ə	u k t̪ u - β ɾ - ə -
fra-471_october-1	French	stan1290	2853	OCTOBER	octobre	ɔkˈtɔbʁə	43	ɔ k t ɔ b ʁ ə	ɔ k t ɔ - b ʁ - ə -
ita-471_october-1	Italian	ital1282	2853	OCTOBER	ottobre	otːobre	43	o tː o b r e	o - tː o - b r - e -
lat-471_october-1	Latin	lati1261	2853	OCTOBER	Octobris	ɔktoːbrɪs	43	ɔ k t oː b r ɪ s	ɔ k t oː - b r - ɪ s
por-471_october-1	Portuguese	port1283	2853	OCTOBER	Outubro	oˈtuβru	43	o t u β r u	o - t u - β r - u -
ron-471_october-1	Romanian	roma1327	2853	OCTOBER	octombrie	oktombrje	43	o k t o m b r j e	o k t o m b r j e -
spa-471_october-1	Spanish	stan1288	2853	OCTOBER	octubre	oktuβɾe	43	o k t u β ɾ e	o k t u - β ɾ - e -
cat-479_saturday-1	Catalan	stan1289	1700	SATURDAY	dissabte	d̪isapt̪ə	48	d̪ i s a p t̪ ə	d̪ i s a p t̪ ə
fra-479_saturday-1	French	stan1290	1700	SATURDAY	samedi	samˈdi	47	s a m d i	s a m d i
ita-479_saturday-1	Italian	ital1282	1700	SATURDAY	sàbato	sabato	44	s a b a t o	s a b a t o
lat-479_saturday-1	Latin	lati1261	1700	SATURDAY	dies Saturni	dɪeːs satʊrniː	46	d ɪ eː s + s a t ʊ r n iː	d ɪ eː s + s a t ʊ r n iː
por-479_saturday-1	Portuguese	port1283	1700	SATURDAY	sábado	ˈsaβɐðu	44	s a β ɐ ð u	s a β ɐ ð u
ron-479_saturday-1	Romanian	roma1327	1700	SATURDAY	sâmbătă	sɨmbətə	45	s ɨ m b ə t ə	s ɨ m b ə t ə
spa-479_saturday-1	Spanish	stan1288	1700	SATURDAY	sábado	saβaðo	44	s a β a ð o	s a β a ð o
cat-470_september-1	Catalan	stan1289	2852	SEPTEMBER	setembre	sət̪ɛmβɾə	49	s ə t̪ ɛ m β ɾ ə	s ə - t̪ - ɛ m β - ɾ - ə
fra-470_september-1	French	stan1290	2852	SEPTEMBER	septembre	sɛpˈtɑ̃ːbʁə	49	s ɛ p t ɑ̃ː b ʁ ə	s ɛ p t - ɑ̃ː - b - ʁ - ə
ita-470_september-1	Italian	ital1282	2852	SEPTEMBER	settembre	setːembre	49	s e tː e m b r e	s e - tː - e m b - r - e
lat-470_september-1	Latin	lati1261	2852	SEPTEMBER	September	sɛptɛmbɛr	49	s ɛ p t ɛ m b ɛ r	s ɛ p t - ɛ m b ɛ r - -
por-470_september-1	Portuguese	port1283	2852	SEPTEMBER	Setembro	səˈtẽbru	49	s ə t ẽ b r u	s ə - t - ẽ - b - r - u
ron-470_september-1	Romanian	roma1327	2852	SEPTEMBER	septembrie	septembrje	49	s e p t e m b r j e	s e p t - e m b - r j e
spa-470_september-1	Spanish	stan1288	2852	SEPTEMBER	septiembre	seβtjembɾe	49	s e β t j e m b ɾ e	s e β t j e m b - ɾ - e
cat-480_sunday-1	Catalan	stan1289	1699	SUNDAY	diumenge	d̪iwmɛɲʒə	51	d̪ i w m ɛ ɲ ʒ ə	d̪ i w m ɛ ɲ ʒ ə
fra-480_sunday-1	French	stan1290	1699	SUNDAY	dimanche	diˈmɑ̃ːʃ	51	d i m ɑ̃ː ʃ	d i - m ɑ̃ː - ʃ -
ita-480_sunday-1	Italian	ital1282	1699	SUNDAY	domenica	domenika	50	d o m e n i k a	d o m e n i k a -
lat-480_sunday-1	Latin	lati1261	1699	SUNDAY	dominicus	dɔmiːnɪkʊs	50	d ɔ m iː n ɪ k ʊ s	d ɔ m iː n ɪ k ʊ s
lat-480_sunday-2	Latin	lati1261	1699	SUNDAY	dies solis	dɪeːs soːɫɪs	52	d ɪ eː s + s oː lˠ ɪ s	d ɪ eː s + s oː lˠ ɪ s
por-480_sunday-1	Portuguese	port1283	1699	SUNDAY	domingo	duˈmĩɡu	50	d u m ĩ g u	d u m ĩ - - g u -
ron-480_sunday-1	Romanian	roma1327	1699	SUNDAY	duminică	duminikə	50	d u m i n i k ə	d u m i n i k ə -
spa-480_sunday-1	Spanish	stan1288	1699	SUNDAY	domingo	domiŋɡo	50	d o m i ŋ g o	d o m i ŋ - g o -
cat-477_thursday-1	Catalan	stan1289	1693	THURSDAY	dijous	d̪iʒɔws	59	d̪ i ʒ ɔ w s	d̪ i ʒ ɔ w s
fra-477_thursday-1	French	stan1290	1693	THURSDAY	jeudi	ʒøˈdi	58	ʒ ø d i	ʒ ø d i
ita-477_thursday-1	Italian	ital1282	1693	THURSDAY	giovedì	d͡ʒovedi	57	dʒ o v e d i	dʒ o v e d i
lat-477_thursday-1	Latin	lati1261	1693	THURSDAY	dies Iovis	dɪeːs ɪɔwɪs	56	d ɪ eː s + ɪ ɔ w ɪ s	d ɪ eː s + ɪ ɔ w ɪ s
por-477_thursday-1	Portuguese	port1283	1693	THURSDAY	quinta-feira	ˈkĩtɐˈfejrɐ	55	k ĩ t ɐ f e j r ɐ	k ĩ t ɐ f e j r ɐ
ron-477_thursday-1	Romanian	roma1327	1693	THURSDAY	joi	ʒoj	54	ʒ o j	ʒ o j
spa-477_thursday-1	Spanish	stan1288	1693	THURSDAY	jueves	xweβes	53	x w e β e s	x w e β e s
cat-475_tuesday-1	Catalan	stan1289	1695	TUESDAY	dimarts	d̪imaɾt͡s	63	d̪ i m a ɾ ts	d̪ i m a ɾ ts
fra-475_tuesday-1	French	stan1290	1695	TUESDAY	mardi	maʁˈdi	60	m a ʁ d i	m a ʁ d i - -
ita-475_tuesday-1	Italian	ital1282	1695	TUESDAY	martedì	martedi	60	m a r t e d i	m a r t e d i
lat-475_tuesday-1	Latin	lati1261	1695	TUESDAY	dies Martis	dɪeːs maːrtɪs	62	d ɪ eː s + m aː r t ɪ s +	d ɪ eː s + m aː r t ɪ s +
por-475_tuesday-1	Portuguese	port1283	1695	TUESDAY	terça-feira	ˈtersɐˈfejrɐ	61	t e r s ɐ f e j r ɐ	t e r s ɐ f e j r ɐ
ron-475_tuesday-1	Romanian	roma1327	1695	TUESDAY	marți	mart͡sʲ	60	m a r tsʲ	m a r tsʲ - - -
spa-475_tuesday-1	Spanish	stan1288	1695	TUESDAY	martes	maɾtes	60	m a ɾ t e s	m a ɾ t e s -
cat-476_wednesday-1	Catalan	stan1289	1694	WEDNESDAY	dimecres	d̪imɛkɾəs	65	d̪ i m ɛ k ɾ ə s	d̪ i m ɛ k ɾ ə s
fra-476_wednesday-1	French	stan1290	1694	WEDNESDAY	mercredi	mɛʁkʁəˈdi	64	m ɛ ʁ k ʁ ə d i	m - ɛ ʁ k - ʁ ə d i
ita-476_wednesday-1	Italian	ital1282	1694	WEDNESDAY	mercoledì	merkoledi	64	m e r k o l e d i	m - e r k o l e d i
lat-476_wednesday-1	Latin	lati1261	1694	WEDNESDAY	dies Mercurii	dɪeːs mɛrkʊrɪjː	66	d ɪ eː s + m ɛ r k ʊ r ɪ jː	d ɪ eː s + m ɛ r k ʊ r ɪ jː
por-476_wednesday-1	Portuguese	port1283	1694	WEDNESDAY	quarta-feira	ˈkwartɐˈfejrɐ	67	k w a r t ɐ f e j r ɐ	k w a r t ɐ f e j r ɐ
ron-476_wednesday-1	Romanian	roma1327	1694	WEDNESDAY	miercuri	mjerkurʲ	64	m j e r k u rʲ	m j e r k u rʲ - - -
spa-476_wednesday-1	Spanish	stan1288	1694	WEDNESDAY	miércoles	mjeɾkoles	64	m j e ɾ k o l e s	m j e ɾ k o l e s -
cat-673_ahundred-1	Catalan	stan1289	1634	HUNDRED	cent	sɛn̪	68	s ɛ n̪	s - ɛ n̪ - -
fra-673_ahundred-1	French	stan1290	1634	HUNDRED	cent	sɑ̃	68	s ɑ̃	s - ɑ̃ - - -
ita-673_ahundred-1	Italian	ital1282	1634	HUNDRED	cento	t͡ʃento	68	tʃ e n t o	tʃ - e n t o
lat-673_ahundred-1	Latin	lati1261	1634	HUNDRED	centum	kɛntʊ̃	68	k ɛ n t ʊ̃	k - ɛ n t ʊ̃
por-673_ahundred-1	Portuguese	port1283	1634	HUNDRED	cem	sẽj	69	s ẽ j	s ẽ j
por-673_ahundred-2	Portuguese	port1283	1634	HUNDRED	cento	ˈsẽtu	68	s ẽ t u	s - ẽ t - u
ron-673_ahundred-1	Romanian	roma1327	1634	HUNDRED	sută	sutə	70	s u t ə	s u t ə
spa-673_ahundred-1	Spanish	stan1288	1634	HUNDRED	cien	θjen	68	θ j e n	θ j e n - -
spa-673_ahundred-2	Spanish	stan1288	1634	HUNDRED	ciento	θjento	68	θ j e n t o	θ j e n t o
cat-621_alittle-1	Catalan	stan1289	2924	A LITTLE	una mica	unə mikə	75	u n ə + m i k ə	u n ə + m i k ə
fra-621_alittle-1	French	stan1290	2924	A LITTLE	un peu	œ̃ˈpø	72	œ̃ p ø	œ̃ p ø
ita-621_alittle-1	Italian	ital1282	2924	A LITTLE	un po'	un poˈ	71	u n + p o	u n + p o - - - -
ita-621_alittle-2	Italian	ital1282	2924	A LITTLE	un poco	un poko	71	u n + p o k o	u n + p o k - - o
lat-621_alittle-1	Latin	lati1261	2924	A LITTLE	paulum	paʊ̯ɫʊ̃	74	p a ʊ lˠ ʊ̃	p a ʊ lˠ ʊ̃
por-621_alittle-1	Portuguese	port1283	2924	A LITTLE	um pouco	ũ ˈpoku	71	ũ + p o k u	ũ - + p o k - - u
por-621_alittle-2	Portuguese	port1283	2924	A LITTLE	um bocado	ũ buˈkaðu	71	ũ + b u k a ð u	ũ - + b u k a ð u
ron-621_alittle-1	Romanian	roma1327	2924	A LITTLE	puțin	put͡sin	73	p u ts i n	p u ts i n
spa-621_alittle-1	Spanish	stan1288	2924	A LITTLE	un poco	un poko	71	u n + p o k o	u n + p o k - - o
cat-674_athousand-1	Catalan	stan1289	1843	THOUSAND	mil	miɫ	76	m i lˠ	m i lˠ -
fra-674_athousand-1	French	stan1290	1843	THOUSAND	mille	mil	76	m i l	m i l -
ita-674_athousand-1	Italian	ital1282	1843	THOUSAND	mille	milːe	76	m i lː e	m i lː e
lat-674_athousand-1	Latin	lati1261	1843	THOUSAND	mille	miːlːɛ	76	m iː lː ɛ	m iː lː ɛ
por-674_athousand-1	Portuguese	port1283	1843	THOUSAND	mil	miɫ	76	m i lˠ	m i lˠ -
ron-674_athousand-1	Romanian	roma1327	1843	THOUSAND	mie	mje	77	m j e	m j e
spa-674_athousand-1	Spanish	stan1288	1843	THOUSAND	mil	mil	76	m i l	m i l -
cat-617_above-1	Catalan	stan1289	1265	HIGH	dalt	d̪aɫ	86	d̪ a lˠ	d̪ a lˠ
fra-617_above-1	French	stan1290	1265	HIGH	dessus	dəˈsy	85	d ə s y	d ə s y
fra-617_above-2	French	stan1290	1265	HIGH	en haut	ɑ̃ˈʔo	81	ɑ̃ ʔ o	ɑ̃ ʔ o
ita-617_above-1	Italian	ital1282	1265	HIGH	su	su	79	s u	s u
ita-617_above-2	Italian	ital1282	1265	HIGH	sopra	sopra	78	s o p r a	s o p r a
lat-617_above-1	Latin	lati1261	1265	HIGH	supra	sʊpraː	78	s ʊ p r aː	s ʊ p r aː
por-617_above-1	Portuguese	port1283	1265	HIGH	em cima	ẽ ˈsimɐ	84	ẽ + s i m ɐ	ẽ + s i m ɐ
ron-617_above-1	Romanian	roma1327	1265	HIGH	sus	sus	83	s u s	s u s
ron-617_above-2	Romanian	roma1327	1265	HIGH	deasupra	de̯asupra	80	d e a s u p r a	d e a s u p r a
spa-617_above-1	Spanish	stan1288	1265	HIGH	arriba	ariβa	82	a r i β a	a r i β a
cat-747_ache-1	Catalan	stan1289	1815	ACHE	doldre	d̪ɔɫd̪ɾə	87	d̪ ɔ lˠ d̪ ɾ ə	d̪ - ɔ lˠ d̪ - ɾ ə
fra-747_ache-1	French	stan1290	1815	ACHE	faire mal	fɛːʁ ˈmal	89	f ɛː ʁ + m a l	f ɛː ʁ + m a l
ita-747_ache-1	Italian	ital1282	1815	ACHE	dolere	dolere	87	d o l e r e	d - o l - e r e
lat-747_ache-1	Latin	lati1261	1815	ACHE	dolere	dɔɫeːrɛ	87	d ɔ lˠ eː r ɛ	d - ɔ lˠ - eː r ɛ
por-747_ache-1	Portuguese	port1283	1815	ACHE	doer	dwer	87	d w e r	d w e - - - r -
ron-747_ache-1	Romanian	roma1327	1815	ACHE	durea	dure̯a	88	d u r e a	d u r e a
spa-747_ache-1	Spanish	stan1288	1815	ACHE	doler	doleɾ	87	d o l e ɾ	d - o l - e ɾ -
cat-884_add-1	Catalan	stan1289	2882	ADD	afegir	əfəʒi	94	ə f ə ʒ i	ə f ə ʒ i
fra-884_add-1	French	stan1290	2882	ADD	ajouter	aʒuˈte	95	a ʒ u t e	a ʒ u t e
ita-884_add-1	Italian	ital1282	2882	ADD	aggiùngere	add͡ʒund͡ʒere	90	a d dʒ u n dʒ e r e	a d dʒ u n dʒ e r e
lat-884_add-1	Latin	lati1261	2882	ADD	addere	adːɛrɛ	90	a dː ɛ r ɛ	a - - - - dː ɛ r ɛ
por-884_add-1	Portuguese	port1283	2882	ADD	acrescentar	ɐkrəʃsẽˈtar	93	ɐ k r ə ʃ s ẽ t a r	ɐ k r ə ʃ s ẽ t a r
ron-884_add-1	Romanian	roma1327	2882	ADD	adăuga	adəwɡa	92	a d ə w g a	a d ə w g a
spa-884_add-1	Spanish	stan1288	2882	ADD	añadir	aɲaðiɾ	91	a ɲ a ð i ɾ	a ɲ a ð i ɾ
cat-598_afterwards-1	Catalan	stan1289	2093	AFTERWARDS	després	d̪əspɾes	96	d̪ ə s p ɾ e s	d̪ ə s p ɾ e - s
fra-598_afterwards-1	French	stan1290	2093	AFTERWARDS	après	aˈpʁɛ	103	a p ʁ ɛ	a p ʁ ɛ
fra-598_afterwards-2	French	stan1290	2093	AFTERWARDS	ensuite	ɑ̃ˈsɥit	98	ɑ̃ s ɥ i t	ɑ̃ s ɥ i t
ita-598_afterwards-1	Italian	ital1282	2093	AFTERWARDS	poi	poi	102	p o i	p o i
ita-598_afterwards-2	Italian	ital1282	2093	AFTERWARDS	dopo	dopo	97	d o p o	d o p o
lat-598_afterwards-1	Latin	lati1261	2093	AFTERWARDS	postea	pɔstɛaː	101	p ɔ s t ɛ aː	p ɔ s t ɛ aː
por-598_afterwards-1	Portuguese	port1283	2093	AFTERWARDS	logo	ˈlɔɣu	100	l ɔ ɣ u	l ɔ ɣ u
por-598_afterwards-2	Portuguese	port1283	2093	AFTERWARDS	depois	dəˈpojʃ	96	d ə p o j ʃ	d ə - p - o j ʃ
ron-598_afterwards-1	Romanian	roma1327	2093	AFTERWARDS	după aceasta	dupə at͡ʃe̯asta	99	d u p ə + a tʃ e a s t a	d u p ə + a tʃ e a s t a
spa-598_afterwards-1	Spanish	stan1288	2093	AFTERWARDS	después	despwes	96	d e s p w e s	d e s p w e - s
cat-628_again-1	Catalan	stan1289	204	AGAIN	de nou	d̪ə nɔw	104	d̪ ə + n ɔ w	d̪ ə + n - ɔ - w -
fra-628_again-1	French	stan1290	204	AGAIN	de nouveau	dənuˈvo	109	d ə n u v o	d ə n u v o
ita-628_again-1	Italian	ital1282	204	AGAIN	di nuovo	di nuovo	104	d i + n u o v o	d i + n - u o v o
