ID	Dashi_REF	Dashi_SEQ	Ega_REF	Ega_SEQ	Enqi_REF	Enqi_SEQ	Eryuan_REF	Eryuan_SEQ	Gongxing_REF	Gongxing_SEQ	Heqing_REF	Heqing_SEQ	Jianchuan_REF	Jianchuan_SEQ	Jinman_REF	Jinman_SEQ	Jinxing_REF	Jinxing_SEQ	Lanping_REF	Lanping_SEQ	Luobenzhuo_REF	Luobenzhuo_SEQ	Mazhelong_REF	Mazhelong_SEQ	Qiliqiao_REF	Qiliqiao_SEQ	Tuoluo_REF	Tuoluo_SEQ	Xiangyun_REF	Xiangyun_SEQ	Yunlong_REF	Yunlong_SEQ	Zhoucheng_REF	Zhoucheng_SEQ
bitter	kʰ u ³³ - - - -	kʰ u ³³	qʰ u ²² - - - -	qʰ u ²²	qʰ u ²² - - - -	qʰ u ²²	kʰ u ³³ - - - -	kʰ u ³³	qʰ u ²² - - - -	qʰ u ²²	kʰ u ³³ - - - -	kʰ u ³³	kʰ u ³³ - - - -	kʰ u ³³	qʰ u ²² - - - -	qʰ u ²²	qʰ u ²² - - - -	qʰ u ²²	kʰ u ⁴⁴ - - - -	kʰ u ⁴⁴	qʰ ɤ ³³ - - - -	qʰ ɤ ³³	kʰ u ³³ kʰ ǝ w ³³	kʰ u ³³ kʰ ǝ w ³³	kʰ u ³³ - - - -	kʰ u ³³	qʰ o ³³ - - - -	qʰ o ³³	kʰ u ³³ - - - -	kʰ u ³³	kʰ u ³³ - - - -	kʰ u ³³	kʰ u ³¹ - - - -	kʰ u ³¹
black	x ɯ - ⁴⁴	x ɯ ⁴⁴	x ɯ - ⁴⁴	x ɯ ⁴⁴	χ ɯ - ⁵⁵	χ ɯ ⁵⁵	x ɯ - ⁴⁴	x ɯ ⁴⁴	χ e - ²⁴	χ e ²⁴	x ɯ - ⁴⁴	x ɯ ⁴⁴	x ɯ - ⁴⁴	x ɯ ⁴⁴	x ɯ - ⁵⁵	x ɯ ⁵⁵	x ɯ - ⁴⁴	x ɯ ⁴⁴	x ɯ - ⁴⁴	x ɯ ⁴⁴	x ɯ - ⁵⁵	x ɯ ⁵⁵	x ɯ - ⁴⁴	x ɯ ⁴⁴	x ɯ - ⁴⁴	x ɯ ⁴⁴			x o w ⁴⁴	x o w ⁴⁴	x ɯ - ⁴⁴	x ɯ ⁴⁴	x ɯ - ⁴⁴	x ɯ ⁴⁴
blood	sʰ w a ⁴⁴	sʰ w a ⁴⁴	s w a ⁴⁴	s w a ⁴⁴	s w a ⁵⁵	s w a ⁵⁵	s w a ⁴⁴	s w a ⁴⁴	s w a ²⁴	s w a ²⁴	sʰ w a ⁴⁴	sʰ w a ⁴⁴	s w a ⁴⁴	s w a ⁴⁴	s w a ⁵⁵	s w a ⁵⁵	s w ɑ ⁴⁴	s w ɑ ⁴⁴	s w a ⁴⁴	s w a ⁴⁴	s w a ⁵⁵	s w a ⁵⁵	s w a ⁴⁴	s w a ⁴⁴	ʃ w a ⁴⁴	ʃ w a ⁴⁴	s w ɔ ⁴²	s w ɔ ⁴²	s w a ⁴⁴	s w a ⁴⁴	s w a ⁴⁴	s w a ⁴⁴	s w a ⁴⁴	s w a ⁴⁴
bone	k w a ⁴⁴ - - - -	k w a ⁴⁴	q w a ⁴⁴ - - - -	q w a ⁴⁴	q w a ⁵⁵ - - - -	q w a ⁵⁵	k w a ⁴⁴ t ɯ - ²¹	k w a ⁴⁴ t ɯ ²¹	q w a ²⁴ - - - -	q w a ²⁴	k w a ⁴⁴ t ɯ - ²¹	k w a ⁴⁴ t ɯ ²¹	k w a ⁴⁴ t ɯ - ²¹	k w a ⁴⁴ t ɯ ²¹	q w a ⁵⁵ - - - -	q w a ⁵⁵	k w ɑ ⁴⁴ - - - -	k w ɑ ⁴⁴	k w a ⁴⁴ ʦ e - ⁴⁴	k w a ⁴⁴ ʦ e ⁴⁴	q w a ⁵⁵ ʦ ɛ - ⁴⁴	q w a ⁵⁵ ʦ ɛ ⁴⁴	k w a ⁴⁴ - - - -	k w a ⁴⁴	k w a ⁴⁴ t ɯ - ²¹	k w a ⁴⁴ t ɯ ²¹	k - u ⁴² - - - -	k u ⁴²	k w a ⁴⁴ t o w ²¹	k w a ⁴⁴ t o w ²¹	k w a ⁴⁴ t ɯ - ²¹	k w a ⁴⁴ t ɯ ²¹	k w a ⁴⁴ - - - -	k w a ⁴⁴
breast	p a ⁴² - - -	p a ⁴²	p a ⁴² - - -	p a ⁴²	p a ²¹ - - -	p a ²¹	p a ⁴² - - -	p a ⁴²	b a ²¹ - - -	b a ²¹	p a ⁴² t u ³⁵	p a ⁴² t u ³⁵	p a ⁴² - - -	p a ⁴²	p a ⁴² - - -	p a ⁴²	p ɑ ⁴² - - -	p ɑ ⁴²	p a ⁴² p e ⁵⁵	p a ⁴² p e ⁵⁵	p a ⁴⁴ - - -	p a ⁴⁴			p a ⁴² k u ²¹	p a ⁴² k u ²¹	b o ⁴² - - -	b o ⁴²	p a ⁴² - - -	p a ⁴²	p a ⁴² - - -	p a ⁴²	p a ⁴² - - -	p a ⁴²
bridge	- - - k - u ²¹	k u ²¹	- - - k - ɤ ²¹	k ɤ ²¹	- - - k - u ²¹	k u ²¹	- - - k - u ²¹	k u ²¹	- - - g - u ¹²	g u ¹²	- - - k - u ²¹	k u ²¹	- - - k - u ²¹	k u ²¹	- - - k - ɤ ²¹	k ɤ ²¹	- - - k w o ²¹	k w o ²¹	- - - k w ɔ ³¹	k w ɔ ³¹	q ẽ ⁵⁵ k - ɤ ³³	q ẽ ⁵⁵ k ɤ ³³	- - - k - ɤ ²¹	k ɤ ²¹	- - - k - u ²¹	k u ²¹	- - - g - ɤ ³⁵	g ɤ ³⁵	- - - k - u ²¹	k u ²¹	- - - k - u ²¹	k u ²¹	- - - k - u ²¹	k u ²¹
buckwheat	k - o ²¹	k o ²¹	k - ɤ ²¹	k ɤ ²¹	k - u ²¹	k u ²¹	k - ɤ ²¹	k ɤ ²¹	g w a ¹²	g w a ¹²	k w ɔ ²¹	k w ɔ ²¹	k - ɤ ²¹	k ɤ ²¹	k - ɤ ²¹	k ɤ ²¹	k - ɤ ²¹	k ɤ ²¹	k - ɔ ²¹	k ɔ ²¹	k - ɤ ³¹	k ɤ ³¹	k - ɤ ²¹	k ɤ ²¹	k - ɤ ²¹	k ɤ ²¹	g - ɤ ³⁵	g ɤ ³⁵	k - ɯ ²¹	k ɯ ²¹	k - ɤ ²¹	k ɤ ²¹	k - ɤ ²¹	k ɤ ²¹
chicken	k e ³⁵	k e ³⁵	q ɛ ⁵⁵	q ɛ ⁵⁵	q ɛ ²⁴	q ɛ ²⁴	kʲ e ³⁵	kʲ e ³⁵	q ɛ ⁵⁵	q ɛ ⁵⁵	k e ³⁵	k e ³⁵	k e ⁵⁵	k e ⁵⁵	q ɛ̃ ⁵⁵	q ɛ̃ ⁵⁵	k i ⁵⁵	k i ⁵⁵	k ẽ ⁵⁵	k ẽ ⁵⁵	q ɛ̃ ³⁵	q ɛ̃ ³⁵	k e ⁵⁵	k e ⁵⁵	k e ³⁵	k e ³⁵	q ɛ ⁵⁵	q ɛ ⁵⁵	kʲ e ³⁵	kʲ e ³⁵	k e ³⁵	k e ³⁵	k e ³⁵	k e ³⁵
chopsticks	t͡ʂ - o - ³¹	t͡ʂ o ³¹	ʨ - i w ⁴²	ʨ i w ⁴²	d͡ʐ - o - ⁴²	d͡ʐ o ⁴²	t͡ʂ - ɤ - ³¹	t͡ʂ ɤ ³¹	d͡ʐ w a - ⁴²	d͡ʐ w a ⁴²	ʦ w ɔ - ³¹	ʦ w ɔ ³¹	ʦ - ɤ - ³¹	ʦ ɤ ³¹	ʨ - i w ⁴²	ʨ i w ⁴²	ʦ - ɤ̃ - ⁴²	ʦ ɤ̃ ⁴²	ʦ - u - ³¹	ʦ u ³¹	ʥ - y - ⁴⁴	ʥ y ⁴⁴	ʦ - ǝ w ²¹	ʦ ǝ w ²¹	ʦ - ɤ - ³¹	ʦ ɤ ³¹	ʐ - ɤ - ²¹	ʐ ɤ ²¹			ʣ - ɤ - ³¹	ʣ ɤ ³¹	ʦ - ɤ - ³¹	ʦ ɤ ³¹
classifier_chicken	- - - - - t j ǝ - ²¹	t j ǝ ²¹	ʦ u ⁴⁴ - - ʨ - i - ²¹	ʦ u ⁴⁴ ʨ i ²¹	- - - - - d j ɯ - ²¹	d j ɯ ²¹	- - - - - t - ɯ - ²¹	t ɯ ²¹	- - - - - d - i - ¹²	d i ¹²	- - - - - t - ɯ - ²¹	t ɯ ²¹	- - - - - t - ɛ - ²¹	t ɛ ²¹	ʦ o ⁴⁴ a ⁴² ʈ - ɯ - ²¹	ʦ o ⁴⁴ a ⁴² ʈ ɯ ²¹	- - - - - t - ǝ - ²¹	t ǝ ²¹	- - - - - t j ɯ - ²¹	t j ɯ ²¹	- - - - - ʈ - ɯ - ³¹	ʈ ɯ ³¹	- - - - - t - ǝ w ²¹	t ǝ w ²¹	- - - - - t - ɯ - ²¹	t ɯ ²¹	- - - - - d j ɯ - ³⁵	d j ɯ ³⁵			- - - - - t - ɯ - ²¹	t ɯ ²¹	- - - - - t - ɯ - ²¹	t ɯ ²¹
classifier_clothes	kʰ o - ŋ ⁵⁵	kʰ o ŋ ⁵⁵	kʰ o - - ⁵⁵	kʰ o ⁵⁵	kʰ o - - ²⁴	kʰ o ²⁴	kʰ ɔ - - ⁵⁵	kʰ ɔ ⁵⁵	kʰ o - ŋ ⁵⁵	kʰ o ŋ ⁵⁵	kʰ ɔ w - ⁵⁵	kʰ ɔ w ⁵⁵	kʰ õ - - ⁵⁵	kʰ õ ⁵⁵	kʰ õ - - ⁵⁵	kʰ õ ⁵⁵	kʰ õ - - ⁵⁵	kʰ õ ⁵⁵	kʰ ɔ̃ - - ⁵⁵	kʰ ɔ̃ ⁵⁵	kʰ ɤ̃ - - ⁵⁵	kʰ ɤ̃ ⁵⁵			kʰ o - - ⁵⁵	kʰ o ⁵⁵	kʰ o - ŋ ⁵⁵	kʰ o ŋ ⁵⁵	kʰ ã - - ⁵⁵	kʰ ã ⁵⁵	kʰ ɔ - - ⁵⁵	kʰ ɔ ⁵⁵	kʰ o w - ⁵⁵	kʰ o w ⁵⁵
classifier_grain_of_rice	kʰ - u - ³³ - - -	kʰ u ³³	qʰ - o - ²² - - -	qʰ o ²²	qʰ - o - ²² - - -	qʰ o ²²	kʰ - ɔ - ³³ - - -	kʰ ɔ ³³	qʰ - o - ²² - - -	qʰ o ²²	kʰ w ɔ - ³³ - - -	kʰ w ɔ ³³	kʰ - o w ³³ - - -	kʰ o w ³³	qʰ - o - ²² - - -	qʰ o ²²	kʰ - o w ³³ - - -	kʰ o w ³³	kʰ - u - ³³ - - -	kʰ u ³³	qʰ - ɔ - ³¹ - - -	qʰ ɔ ³¹	kʰ - o - ³³ - - -	kʰ o ³³			qʰ - ɔ - ³³ - - -	qʰ ɔ ³³	kʰ w ɔ - ³³ k ɯ ⁴²	kʰ w ɔ ³³ k ɯ ⁴²	kʰ - ɔ - ³³ - - -	kʰ ɔ ³³	kʰ w o - ³³ - - -	kʰ w o ³³
cloth	sʰ e ⁴⁴	sʰ e ⁴⁴	s ɛ ⁴⁴	s ɛ ⁴⁴	s ɛ ⁵⁵	s ɛ ⁵⁵			s ɛ ²⁴	s ɛ ²⁴	sʰ e ⁴⁴	sʰ e ⁴⁴	s e ⁴⁴	s e ⁴⁴	s e ⁵⁵	s e ⁵⁵	s e ⁴⁴	s e ⁴⁴	s e ⁴⁴	s e ⁴⁴	s æ ⁵⁵	s æ ⁵⁵					s ɛ ⁴²	s ɛ ⁴²						
cold	k ɯ ⁰ k a ²¹	k ɯ ⁰ k a ²¹	k ɯ ⁵⁵ - - -	k ɯ ⁵⁵	k ɯ ²⁴ - - -	k ɯ ²⁴	k ɯ ³⁵ - - -	k ɯ ³⁵	g a ¹² - - -	g a ¹²	k ɯ ⁵⁵ - - -	k ɯ ⁵⁵	k ɯ ⁵⁵ - - -	k ɯ ⁵⁵	k ɯ ⁵⁵ - - -	k ɯ ⁵⁵	k ɯ ⁵⁵ - - -	k ɯ ⁵⁵	k ɯ ⁴⁴ - - -	k ɯ ⁴⁴	k ɯ ⁵⁵ - - -	k ɯ ⁵⁵	k ɯ ⁵⁵ - - -	k ɯ ⁵⁵	k ɯ ³⁵ - - -	k ɯ ³⁵	k ɯ ⁵⁵ - - -	k ɯ ⁵⁵	k ɯ ³⁵ - - -	k ɯ ³⁵	k ɯ ³⁵ - - -	k ɯ ³⁵	k ɯ ³⁵ - - -	k ɯ ³⁵
comb	- - - ʂ - ɤ ³⁵ - - -	ʂ ɤ ³⁵	- - - ɕ - y ⁵⁵ - - -	ɕ y ⁵⁵	- - - ɕ - u ²⁴ - - -	ɕ u ²⁴	- - - ʂ - ɤ ³⁵ p e ²¹	ʂ ɤ ³⁵ p e ²¹	- - - s w a ⁵⁵ - - -	s w a ⁵⁵	- - - s - u ⁵⁵ ʦ ɿ ³³	s u ⁵⁵ ʦ ɿ ³³	- - - s - ɤ ⁵⁵ - - -	s ɤ ⁵⁵	- - - ɕ - u ⁵⁵ - - -	ɕ u ⁵⁵	- - - s - ɤ̃ ⁵⁵ - - -	s ɤ̃ ⁵⁵	- - - s - u ⁵⁵ - - -	s u ⁵⁵	- - - ɕ - u ³³ t ɯ ³¹	ɕ u ³³ t ɯ ³¹	- - - s - u ⁵⁵ - - -	s u ⁵⁵	kʰ ɔ ⁵⁵ s - ɤ ³⁵ pʰ i ²¹	kʰ ɔ ⁵⁵ s ɤ ³⁵ pʰ i ²¹	- - - ʂ - ɤ ⁵⁵ - - -	ʂ ɤ ⁵⁵	- - - ɕ - ɛ ³⁵ ʦ ɿ ³³	ɕ ɛ ³⁵ ʦ ɿ ³³	- - - ʃ - ɤ ³⁵ p e ²¹	ʃ ɤ ³⁵ p e ²¹	- - - s - ɤ ³⁵ - - -	s ɤ ³⁵
daughter	- j ũ - ³³	j ũ ³³	ɲ - i w ²²	ɲ i w ²²	ɲ - i w ²²	ɲ i w ²²	ɲ - ɤ - ³³	ɲ ɤ ³³	ɲ j õ - ²²	ɲ j õ ²²	- j ɔ̃ - ³³	j ɔ̃ ³³	- j ɤ̃ - ³³	j ɤ̃ ³³	ɲ - i w ²²	ɲ i w ²²	- j ɤ̃ - ³³	j ɤ̃ ³³			ɲ - ʊ̃ - ³³	ɲ ʊ̃ ³³	ɲ - õ - ³³	ɲ õ ³³	n - ɤ - ³³	n ɤ ³³	- j ɤ ŋ ³³	j ɤ ŋ ³³	n - ɛ̃ - ³³	n ɛ̃ ³³	ɲ - ɤ - ³³	ɲ ɤ ³³	ɲ j ɤ - ³³	ɲ j ɤ ³³
day	- j e n ³³	j e n ³³			ɲ - i - ²²	ɲ i ²²	ɲ - i - ⁴⁴	ɲ i ⁴⁴	ɲ - i - ²²	ɲ i ²²	- j ĩ - ⁴⁴	j ĩ ⁴⁴	- j ĩ - ⁴⁴	j ĩ ⁴⁴	ɲ - i - ⁵⁵	ɲ i ⁵⁵			- j ĩ - ⁴⁴	j ĩ ⁴⁴	ɲ - i - ³³	ɲ i ³³	n - i - ⁴⁴	n i ⁴⁴	ɲ - i - ⁴⁴	ɲ i ⁴⁴			n - i - ⁴⁴	n i ⁴⁴			ɲ j e - ⁴⁴	ɲ j e ⁴⁴
