ID	Amami_REF	Amami_SEQ	Hachijo_REF	Hachijo_SEQ	Kagoshima_REF	Kagoshima_SEQ	Kochi_REF	Kochi_SEQ	Kyoto_REF	Kyoto_SEQ	Miyako_REF	Miyako_SEQ	Oki_REF	Oki_SEQ	Sado_REF	Sado_SEQ	Shuri_REF	Shuri_SEQ	Tokyo_REF	Tokyo_SEQ
leaf	h - w a	h w a	h - - a	h a	h - - ai	h ai	h - - a	h a	h - - aː	h aː	- - p aː	p aː	- - ɸ a	ɸ a	h - - a	h a	h - w aː	h w aː	h a pː a	h a pː a
liver	k i m o	k i m o	k i m o	k i m o	k i m o	k i m o	k i m o	k i m o	k i m o	k i m o	ʦ ɨ m u	ʦ ɨ m u			k i m o	k i m o	ʨ i m u	ʨ i m u	k i m o	k i m o
long	n a g a s a r i	n a g a s a r i	n a g a kʲ a - -	n a g a kʲ a	n a g e - - - -	n a g e	n a g a - - - i	n a g a i	n a ŋ a - - - i	n a ŋ a i	n a g a - - - -	n a g a	n a ŋ eː - - - -	n a ŋ eː	n a g a - - - -	n a g a	n a g a s a ɴ -	n a g a s a ɴ	n a ŋ a - - - i	n a ŋ a i
louse	s i r a ɴ -	s i r a ɴ	ɕ a ɴ - m e	ɕ a ɴ m e	s i t a m e	s i t a m e	s i r a m i	s i r a m i	s i r a m i	s i r a m i	sː a - - m -	sː a m	s i r a m e	s i r a m e	s i r a m i	s i r a m i	s i r a ɴ -	s i r a ɴ	s i r a m i	s i r a m i
mouth	k u ʨ i	k u ʨ i	k u ʨ i	k u ʨ i	k u - i	k u i	k u t i	k u t i	k u ʨ i	k u ʨ i	f u ʦ ɨ	f u ʦ ɨ	k u ʨ i	k u ʨ i	k u ʨ i	k u ʨ i	k u ʨ i	k u ʨ i	k u ʨ i	k u ʨ i
one	- - t ɨː ʦ ɨ	t ɨː ʦ ɨ	- - t eː ʦ u	t eː ʦ u	h i t o - i	h i t o i	h i t o t u	h i t o t u	h i t o ʦ u	h i t o ʦ u	p ɨ t iː s ɨ	p ɨ t iː s ɨ	ɸ u t o ʦ u	ɸ u t o ʦ u	h i t o ʦ u	h i t o ʦ u	- - t iː ɕ i	t iː ɕ i	h i t o ʦ u	h i t o ʦ u
person	- - ʨ u	ʨ u	h i t o	h i t o	h iː t o	h iː t o	h i t o	h i t o	h i t o	h i t o	p ɨ t u	p ɨ t u	ɸ u t o	ɸ u t o			- - ʦː u	ʦː u	h i t o	h i t o
small					ʨ i ɴ k e -	ʨ i ɴ k e			ʨ iː - s a i	ʨ iː s a i					ʨ iː - s a i	ʨ iː s a i			ʨ i - ʨː a i	ʨ i ʨː a i
that	ʔ a r ɨ	ʔ a r ɨ			- a - iː	a iː	- a r e	a r e	- a r e	a r e			- a r e	a r e	- a r e	a r e	ʔ a r i	ʔ a r i	- a r e	a r e
tongue	s ɨ - - b a - -	s ɨ b a	s i t a - - - -	s i t a	s i t a - - - -	s i t a	s i t a - - - -	s i t a	s i t a - - - -	s i t a	s ɨ t a - - - -	s ɨ t a	- - - - b e r o	b e r o	s i t a b e r a	s i t a b e r a	ʃ i - - b a - -	ʃ i b a	s i t a - - - -	s i t a
two	- - t aː ʦ ɨ	t aː ʦ ɨ	h u t a ʦ u	h u t a ʦ u	h u t a - i	h u t a i	h u t aː t u	h u t aː t u	h u t a ʦ u	h u t a ʦ u	f u t aː ʦ ɨ	f u t aː ʦ ɨ	ɸ u t aː ʦ u	ɸ u t aː ʦ u	h u t a ʦ u	h u t a ʦ u	- - t aː ɕ i	t aː ɕ i	h u t a ʦː u	h u t a ʦː u
who	θ a r u	θ a r u	d a r e	d a r e	d a - iː	d a iː	d a r e	d a r e	d a r e	d a r e	t a r u	t a r u	d a r e	d a r e	d a r e	d a r e	t aː - -	t aː	d a r e	d a r e
woman	- o n - a g u	o n a g u	- o ɴ n a g o	o ɴ n a g o	- o n - a g o	o n a g o	- o n - a g o	o n a g o	- o n - a ŋ o	o n a ŋ o					- o ɴ n - - a	o ɴ n a	w i n - a g u	w i n a g u	- o ɴ n - - a	o ɴ n a
